iter	Passed	Remaining
0	159	159276
1	160	80214
2	162	53883
3	163	40663
4	165	32837
5	167	27781
6	169	24062
7	170	21194
8	172	18965
9	173	17185
10	175	15734
11	176	14570
12	178	13548
13	181	12778
14	182	12013
15	185	11436
16	187	10833
17	188	10292
18	190	9810
19	191	9397
20	193	9004
21	194	8656
22	197	8369
23	202	8215
24	203	7931
25	204	7670
26	205	7421
27	207	7189
28	208	6976
29	210	6818
30	213	6662
31	217	6566
32	218	6404
33	219	6245
34	220	6090
35	222	5946
36	223	5820
37	225	5705
38	228	5636
39	230	5536
40	232	5426
41	233	5323
42	234	5221
43	236	5131
44	237	5039
45	240	4986
46	241	4905
47	245	4876
48	247	4801
49	248	4726
50	250	4653
51	251	4582
52	253	4525
53	255	4483
54	257	4429
55	260	4395
56	262	4334
57	263	4275
58	264	4216
59	265	4165
60	267	4111
61	269	4071
62	270	4027
63	274	4013
64	275	3966
65	276	3919
66	278	3874
67	279	3831
68	281	3791
69	282	3752
70	285	3730
71	288	3718
72	289	3682
73	291	3644
74	292	3607
75	293	3570
76	295	3539
77	296	3505
78	300	3498
79	301	3468
80	305	3461
81	306	3432
82	307	3395
83	308	3365
84	309	3336
85	311	3307
86	314	3301
87	316	3279
88	319	3267
89	320	3240
90	321	3212
91	322	3186
92	324	3161
93	325	3139
94	326	3113
95	329	3105
96	331	3086
97	334	3074
98	335	3050
99	336	3027
100	337	3004
101	338	2982
102	340	2962
103	341	2940
104	344	2934
105	345	2916
106	348	2912
107	350	2891
108	351	2871
109	352	2852
110	353	2833
111	355	2816
112	356	2797
113	358	2783
114	360	2771
115	363	2771
116	364	2752
117	366	2735
118	367	2718
119	368	2702
120	370	2688
121	371	2670
122	373	2662
123	375	2649
124	376	2636
125	379	2630
126	380	2614
127	381	2598
128	382	2584
129	384	2571
130	385	2557
131	388	2556
132	391	2551
133	393	2541
134	394	2528
135	396	2516
136	397	2503
137	398	2492
138	400	2478
139	402	2475
140	404	2464
141	407	2459
142	408	2447
143	409	2434
144	411	2424
145	412	2415
146	414	2406
147	416	2396
148	419	2394
149	423	2399
150	424	2388
151	426	2377
152	427	2366
153	428	2356
154	430	2344
155	433	2342
156	434	2332
157	437	2332
158	439	2322
159	440	2312
160	441	2299
161	442	2289
162	444	2280
163	445	2269
164	447	2266
165	450	2260
166	452	2256
167	453	2246
168	454	2236
169	456	2226
170	457	2218
171	458	2208
172	460	2199
173	462	2196
174	464	2189
175	466	2186
176	468	2176
177	469	2167
178	470	2158
179	472	2150
180	473	2141
181	474	2133
182	477	2130
183	478	2123
184	481	2120
185	482	2111
186	483	2103
187	485	2095
188	486	2087
189	487	2079
190	488	2070
191	491	2067
192	494	2066
193	495	2060
194	497	2051
195	498	2043
196	499	2035
197	500	2028
198	502	2020
199	503	2012
200	505	2009
201	507	2003
202	510	2005
203	512	1998
204	513	1990
205	514	1983
206	515	1976
207	517	1969
208	518	1962
209	521	1960
210	523	1956
211	525	1952
212	526	1945
213	527	1938
214	528	1931
215	530	1925
216	531	1918
217	532	1911
218	535	1911
219	539	1912
220	540	1906
221	542	1899
222	543	1893
223	544	1886
224	546	1881
225	547	1875
226	548	1869
227	550	1865
228	552	1860
229	554	1857
230	556	1851
231	557	1844
232	558	1838
233	559	1831
234	560	1825
235	562	1819
236	564	1818
237	566	1813
238	569	1812
239	570	1806
240	571	1800
241	573	1794
242	574	1788
243	575	1783
244	576	1777
245	578	1771
246	580	1771
247	584	1771
248	585	1766
249	586	1760
250	587	1754
251	589	1749
252	590	1744
253	591	1738
254	592	1732
255	595	1729
256	596	1725
257	599	1723
258	600	1717
259	601	1712
260	602	1706
261	603	1701
262	605	1695
263	606	1689
264	607	1684
265	609	1682
266	611	1678
267	612	1672
268	613	1667
269	615	1662
270	616	1658
271	617	1652
272	618	1647
273	619	1641
274	621	1639
275	623	1635
276	626	1634
277	627	1629
278	628	1624
279	629	1619
280	631	1614
281	632	1609
282	633	1604
283	634	1599
284	635	1594
285	637	1592
286	641	1593
287	642	1588
288	643	1584
289	645	1579
290	646	1575
291	647	1570
292	648	1565
293	650	1561
294	652	1559
295	655	1558
296	656	1554
297	657	1549
298	658	1544
299	659	1539
300	661	1535
301	662	1530
302	663	1525
303	664	1520
304	666	1519
305	668	1517
306	670	1513
307	671	1508
308	672	1503
309	673	1498
310	674	1494
311	675	1489
312	676	1484
313	677	1480
314	678	1475
315	679	1471
316	682	1470
317	684	1468
318	686	1464
319	687	1460
320	688	1455
321	689	1450
322	690	1446
323	691	1441
324	692	1437
325	693	1432
326	694	1429
327	696	1427
328	698	1424
329	699	1420
330	700	1416
331	701	1411
332	702	1407
333	703	1403
334	704	1398
335	705	1394
336	706	1390
337	707	1385
338	708	1381
339	709	1378
340	711	1374
341	712	1370
342	713	1365
343	714	1361
344	714	1357
345	715	1353
346	716	1348
347	717	1344
348	718	1340
349	719	1336
350	720	1332
351	721	1327
352	722	1323
353	723	1319
354	724	1315
355	726	1313
356	727	1310
357	728	1306
358	729	1302
359	730	1298
360	731	1294
361	732	1290
362	733	1286
363	734	1282
364	735	1278
365	735	1274
366	736	1271
367	737	1267
368	739	1264
369	740	1261
370	741	1257
371	742	1253
372	743	1249
373	744	1246
374	745	1242
375	746	1238
376	747	1235
377	748	1231
378	749	1227
379	749	1223
380	751	1220
381	751	1216
382	752	1212
383	754	1209
384	755	1206
385	756	1202
386	756	1198
387	757	1195
388	758	1191
389	759	1187
390	760	1184
391	761	1180
392	762	1177
393	763	1173
394	764	1170
395	764	1166
396	765	1163
397	766	1159
398	767	1156
399	768	1152
400	769	1149
401	770	1146
402	771	1143
403	772	1139
404	773	1136
405	774	1132
406	775	1129
407	775	1125
408	776	1122
409	777	1118
410	778	1115
411	779	1112
412	780	1108
413	780	1105
414	781	1101
415	782	1098
416	783	1095
417	785	1093
418	785	1089
419	786	1086
420	787	1083
421	788	1079
422	789	1076
423	789	1073
424	790	1069
425	791	1066
426	792	1063
427	793	1060
428	794	1057
429	795	1054
430	796	1051
431	797	1048
432	798	1045
433	799	1042
434	800	1039
435	801	1036
436	802	1033
437	803	1030
438	803	1027
439	804	1024
440	805	1021
441	806	1018
442	807	1015
443	808	1012
444	809	1009
445	809	1006
446	810	1002
447	811	1000
448	812	996
449	813	993
450	814	991
451	815	988
452	815	985
453	816	982
454	817	979
455	818	976
456	819	973
457	820	970
458	821	967
459	821	964
460	822	961
461	823	959
462	824	956
463	825	953
464	825	950
465	826	947
466	827	944
467	828	941
468	829	939
469	830	936
470	831	934
471	832	931
472	833	929
473	834	926
474	835	923
475	836	921
476	837	918
477	838	915
478	839	913
479	840	910
480	841	907
481	842	905
482	843	902
483	844	899
484	845	897
485	846	895
486	847	892
487	848	890
488	849	887
489	850	885
490	851	882
491	852	879
492	853	877
493	854	875
494	855	872
495	856	870
496	857	867
497	858	865
498	859	863
499	860	860
500	861	858
501	862	856
502	864	854
503	865	852
504	866	849
505	867	847
506	868	844
507	869	841
508	870	839
509	871	837
510	872	834
511	874	833
512	875	831
513	876	828
514	877	826
515	878	824
516	879	821
517	880	819
518	881	817
519	883	815
520	884	812
521	885	810
522	886	808
523	887	805
524	888	803
525	889	801
526	893	801
527	894	799
528	895	797
529	896	795
530	898	793
531	899	790
532	900	788
533	901	786
534	902	784
535	905	783
536	906	781
537	907	779
538	911	779
539	912	777
540	913	775
541	914	773
542	916	771
543	917	768
544	920	768
545	923	767
546	924	765
547	925	763
548	926	761
549	928	759
550	930	757
551	931	755
552	932	754
553	936	753
554	937	752
555	939	750
556	940	747
557	941	745
558	942	743
559	944	741
560	945	739
561	946	737
562	948	736
563	950	734
564	951	732
565	952	730
566	953	728
567	954	726
568	956	724
569	957	722
570	958	720
571	959	718
572	960	715
573	961	713
574	963	712
575	965	710
576	965	708
577	966	705
578	967	703
579	968	701
580	969	699
581	970	697
582	971	695
583	972	692
584	973	690
585	974	688
586	975	686
587	977	684
588	979	683
589	980	681
590	981	678
591	982	676
592	983	674
593	983	672
594	984	670
595	986	668
596	987	666
597	988	664
598	988	662
599	989	659
600	990	657
601	991	655
602	993	654
603	995	652
604	996	650
605	997	648
606	998	646
607	999	644
608	1000	642
609	1001	640
610	1002	638
611	1003	636
612	1004	634
613	1005	632
614	1006	630
615	1009	629
616	1010	627
617	1011	625
618	1012	623
619	1013	621
620	1014	619
621	1015	617
622	1017	615
623	1018	613
624	1019	611
625	1019	609
626	1020	607
627	1022	605
628	1025	604
629	1026	602
630	1027	600
631	1028	598
632	1029	596
633	1030	594
634	1031	592
635	1032	590
636	1033	588
637	1034	586
638	1035	584
639	1036	583
640	1038	581
641	1040	580
642	1041	578
643	1042	576
644	1043	574
645	1044	572
646	1045	570
647	1046	568
648	1047	566
649	1048	564
650	1049	562
651	1050	560
652	1051	558
653	1053	557
654	1054	555
655	1055	553
656	1056	551
657	1057	549
658	1058	547
659	1059	545
660	1060	543
661	1061	541
662	1061	539
663	1062	537
664	1063	535
665	1064	533
666	1065	532
667	1067	530
668	1068	528
669	1069	526
670	1070	525
671	1071	523
672	1072	521
673	1073	519
674	1074	517
675	1075	515
676	1076	513
677	1077	511
678	1078	509
679	1079	507
680	1080	506
681	1081	504
682	1083	502
683	1084	501
684	1085	499
685	1086	497
686	1087	495
687	1088	493
688	1089	491
689	1090	489
690	1091	488
691	1092	486
692	1093	484
693	1094	482
694	1096	481
695	1098	479
696	1099	477
697	1100	476
698	1101	474
699	1102	472
700	1103	470
701	1104	468
702	1105	466
703	1106	465
704	1107	463
705	1108	461
706	1109	459
707	1110	457
708	1111	456
709	1113	454
710	1114	452
711	1115	451
712	1116	449
713	1117	447
714	1118	445
715	1119	443
716	1120	442
717	1121	440
718	1122	438
719	1123	436
720	1124	434
721	1125	433
722	1126	431
723	1128	430
724	1129	428
725	1130	426
726	1132	425
727	1132	423
728	1133	421
729	1134	419
730	1136	418
731	1137	416
732	1138	414
733	1139	412
734	1140	411
735	1142	409
736	1143	408
737	1144	406
738	1145	404
739	1146	402
740	1147	401
741	1149	399
742	1150	397
743	1151	396
744	1152	394
745	1153	392
746	1154	390
747	1155	389
748	1159	388
749	1160	386
750	1161	385
751	1162	383
752	1164	381
753	1165	380
754	1166	378
755	1167	376
756	1168	375
757	1169	373
758	1171	372
759	1173	370
760	1174	368
761	1175	367
762	1176	365
763	1178	363
764	1179	362
765	1180	360
766	1181	358
767	1182	357
768	1182	355
769	1184	353
770	1186	352
771	1188	350
772	1189	349
773	1190	347
774	1191	346
775	1192	344
776	1193	342
777	1194	340
778	1195	339
779	1196	337
780	1197	335
781	1198	334
782	1199	332
783	1203	331
784	1204	329
785	1205	328
786	1206	326
